PolicyID,CustomerID,PolicyType,PolicyStartDate,PolicyEndDate,PremiumAmount,policyid
59,59,Life,2023-12-14,2026-06-14,1826.3,986fca59-a35a-4f22-a99c-43a635214178
60,60,Auto,2022-06-08,2025-08-12,4299.13,82cebfef-4404-4b66-be5d-cb3fd8f84b11
61,61,Home,2024-06-03,2026-06-11,1976.0,22d9ce1b-4933-483d-a279-414bc62fa2ba
62,62,Life,2023-04-03,2024-12-09,4092.65,59afc880-b625-48c7-bbe7-a69703bb32fd
63,63,Health,2022-03-16,2026-04-01,2815.41,96f67783-d4f4-449c-8dc2-09bf3d641c3e
64,64,Life,2020-10-28,2026-01-09,3724.7,c3c59f1d-99fd-479d-931c-9e73a4e751f4
65,65,Health,2019-12-01,2028-02-08,1476.13,15579812-09fe-4527-b778-0e85304f3a5e
66,66,Auto,2023-05-20,2026-05-07,4728.14,546178d0-a017-4d8c-92a6-cb57f57dd94b
67,67,Auto,2020-02-18,2024-11-19,1692.19,0b9f1ca1-2c4b-49b3-b76f-a653277006de
68,68,Life,2023-11-01,2027-07-01,2596.0,bd78a6c8-0a33-4ce6-aa96-dcd9f8e9bfcc
69,69,Life,2019-08-19,2027-09-01,1692.55,3185c6d1-2ca8-4bc4-a819-c6991ad24ded
70,70,Auto,2020-09-14,2027-06-15,2994.47,ca5f40fe-993f-414a-be9b-0b6e153ca318
71,71,Home,2023-01-22,2025-02-22,3464.61,f3790d3a-5322-4d9b-9903-3dbd9026d276
72,72,Life,2024-02-01,2029-04-18,2086.96,0bf826c8-eaa5-4fe8-9bc1-6c8a849516d3
73,73,Home,2019-11-10,2024-08-30,1460.74,0d1db98e-8191-4269-b870-5f9d153dbe73
74,74,Home,2022-09-21,2024-08-10,4292.15,d934fec2-d8a4-432e-a5c3-627744769fa9
75,75,Health,2020-04-23,2028-09-16,4452.11,81fa39fe-9261-4bd3-90fc-5d1b5d7c8d33
76,76,Health,2020-06-28,2024-09-09,3003.67,c6f1ea5a-a702-4c8d-84c1-98501043c4a4
77,77,Life,2019-12-05,2028-03-10,1318.61,b8b9bb55-4c16-4785-ac33-9f1fc123dd66
78,78,Home,2020-04-05,2024-09-13,3947.78,5399fc72-d634-4e07-aea1-c0a2f0c77646
79,79,Health,2023-06-12,2025-04-03,2030.26,09326d2d-2c3f-4e28-aa39-80149e52d5dc
80,80,Life,2022-04-13,2028-12-21,2181.23,eec8e791-f4a4-4215-828a-1450247769b2
81,81,Auto,2020-12-26,2027-10-13,3945.32,1e2db647-9922-437e-ae54-937df45ad685
82,82,Auto,2019-08-03,2025-11-26,1075.67,becfe8ce-4052-400f-910e-d53cf0cb69f3
83,83,Health,2021-08-10,2026-08-07,2143.04,e028854f-f663-4753-8e58-4b5adaef98b1
84,84,Auto,2021-05-23,2025-11-14,4460.55,6f9229e2-e01c-4ca4-9744-99a5a0aef861
85,85,Home,2021-01-20,2028-11-23,3973.51,ef33ef9c-60ce-4b4e-a9b6-88665ea44dc6
86,86,Home,2022-03-28,2028-08-30,1329.49,8158f27a-4c82-4b45-801f-70e21c0b4ff1
87,87,Health,2020-03-09,2029-02-18,1311.94,149d39e8-b045-40d3-9552-0fb5ca0c5670
88,88,Home,2019-12-21,2026-07-02,1284.09,1e4f8580-7a4c-486b-b03a-20cbcc826ff8
89,89,Health,2023-01-14,2029-06-03,3321.71,a5703945-4091-401b-b362-ecaf5149a1c9
90,90,Health,2023-06-22,2025-09-04,1153.92,e01ec8ee-5124-43d0-a8c2-8afb19ab3ed1
91,91,Life,2021-04-18,2029-03-02,1261.03,18af4d26-af6f-4e2b-9061-9e4276308e3e
92,92,Life,2022-12-14,2025-02-16,4412.38,434fffe4-0e3f-4919-be1d-4d08891f1a4d
93,93,Home,2023-08-17,2028-03-13,4209.15,a497015f-1870-4621-82c4-33767e35345e
94,94,Home,2021-02-06,2024-07-22,4787.42,d7c4b6d5-58dd-4355-aff4-79681fde1666
95,95,Home,2022-04-18,2027-02-04,2335.49,3cf7651c-dd01-42f3-92c2-e85165cc9371
96,96,Life,2020-07-27,2026-10-07,3836.32,51c0baee-4de5-4caa-bd39-fb06a966299e
97,97,Auto,2022-04-17,2029-06-08,3237.32,403ed3fe-c287-48e5-a44c-24187dc84c75
98,98,Home,2020-06-13,2027-03-23,3763.98,8b872dc3-aefd-448b-a4dc-b4f3ffd6764f
99,99,Home,2022-07-10,2026-12-15,2967.01,14b7c901-84b1-4fa2-9d80-25c075a800b0
100,100,Life,2020-03-18,2025-06-27,3969.32,f7186226-f013-4799-8987-29669ac4927b
101,101,Health,2023-06-11,2028-05-18,3558.76,2012c2ae-ba0f-4c8e-925f-e0c2bb9b9bbf
102,102,Home,2020-03-30,2026-07-12,4811.32,dd4db23a-89c5-4908-80a6-1a680ee07a90
103,103,Auto,2024-04-19,2027-02-17,3669.5,534c36bf-a834-46db-98b7-c3a24a596fd9
104,104,Home,2020-09-07,2024-09-11,2522.93,40e8f5f6-a9ba-4e3e-b71c-003be3b69edb
105,105,Home,2021-10-13,2025-10-24,2484.52,2df7104d-0d5e-4874-b54d-55857b5e8674
106,106,Life,2021-11-19,2029-04-13,2338.66,b851dbc4-7a37-46b6-99d2-804bb92d0d9b
107,107,Home,2024-02-14,2024-09-14,1347.28,56c532d1-5ec5-4b07-bcd7-b041d8698d65
108,108,Health,2020-12-28,2025-01-31,2880.44,2d01e017-2c9f-431e-8046-0fce8aad5faa
109,109,Auto,2022-02-18,2025-04-22,2900.03,1c89868b-395e-47ae-bcc0-893dd5e84e8a
110,110,Auto,2023-04-17,2024-12-05,3009.04,2dbe9ed9-3e6c-4ba6-ba46-fcb37897b265
111,111,Auto,2020-03-06,2028-12-13,4926.99,f4dde292-9623-45e5-81a6-870ea2b622f3
112,112,Health,2024-02-10,2028-06-09,2224.5,83a0082f-b9f2-4b79-8771-c9f37763b535
113,113,Life,2022-09-27,2026-10-29,2707.75,916fd25f-3c28-4939-959a-d1af7ac02b4b
114,114,Auto,2024-03-29,2028-05-11,3871.36,21eb9b81-3845-4b69-a2b8-2012fe922d06
115,115,Auto,2020-03-12,2024-09-14,4937.35,58ca6aba-6c9e-4e25-ae8b-07dd15b6118e
116,116,Auto,2020-01-29,2024-10-13,4702.97,195a2c62-b90f-4abd-9554-d706d9749eb9
117,117,Health,2019-09-18,2025-08-31,2457.45,df84c51a-f938-45d7-a5b2-615b1f6cce2b
118,118,Life,2021-08-08,2025-07-28,2376.89,171b28f5-cf29-44e4-a158-2c246944e7e8
119,119,Auto,2024-04-17,2028-10-19,2622.57,c47a918d-96cf-4c70-aef0-fb39d2f44795
120,120,Auto,2019-08-14,2028-02-26,1908.14,f1250c24-2572-454d-b1a7-681baee08e70
121,121,Life,2021-03-19,2028-08-23,1161.82,edf8a1f9-288c-4f5f-b4f7-5677b4dbecfe
122,122,Auto,2021-03-26,2024-08-07,4377.2,c142f505-91a3-4246-abfe-18464de5eab0
123,123,Life,2020-11-19,2028-10-09,3547.51,631ae25a-b7ed-41b5-adeb-2c60e29b8ce9
124,124,Health,2024-04-22,2028-06-29,1694.64,7a9db110-185e-4051-adaa-e352b60d3559
125,125,Auto,2020-01-01,2028-01-07,2790.74,abce9098-1ce4-4e0a-958b-d17c6c4c1fd5
126,126,Life,2023-09-02,2028-08-30,3653.63,eba3e61a-baaa-417f-b5c8-345ffe366ab2
127,127,Home,2021-02-09,2027-02-27,3368.38,d699b352-a582-4684-b948-ee2de9273d9a
128,128,Life,2021-12-16,2028-06-11,1967.98,c9fa9509-2e34-4d59-bcfa-f1347af821d9
129,129,Health,2022-08-26,2028-04-17,1571.01,baa55f59-9e3a-48f4-8742-052884f33808
130,130,Auto,2019-07-29,2028-08-27,1827.87,04eac9d7-ab45-4907-b6ca-ddd6a4340356
131,131,Health,2019-12-27,2029-01-17,2823.53,0be7633e-a835-4159-855e-fd6cf520c113
132,132,Home,2021-11-18,2025-04-23,3455.65,36e5dc58-17fc-4000-98cb-f082755db9cc
133,133,Health,2022-06-13,2024-10-16,1509.36,b4e2172d-0d34-4fe0-9fc5-919ae30d06f9
134,134,Health,2023-08-06,2025-10-01,4858.33,966d75f8-be22-42b9-a4ea-1490fe963b7f
135,135,Auto,2020-08-04,2028-04-17,3366.96,da198862-cc03-4eda-b714-a86d55ec17d5
136,136,Health,2020-08-10,2027-12-27,4924.48,aa8edc5e-34ec-495d-82a0-d70360472465
137,137,Auto,2020-07-09,2026-06-12,4909.28,f5dd54e5-592e-49cc-9f51-e847acbb4b41
138,138,Health,2019-10-07,2027-07-21,2912.52,e5636f44-7c37-417e-bbfb-b76b341ad9ed
139,139,Home,2019-10-04,2027-10-03,3068.5,7773083b-300b-456d-abde-a59432bba522
140,140,Health,2023-10-20,2028-02-10,1951.78,d6db19ec-a878-4b9e-bf95-36e00431dbae
141,141,Life,2024-05-13,2028-02-10,4914.79,300ae3d2-c40d-4437-9610-5d9b4e505303
142,142,Health,2024-04-04,2026-09-26,2107.46,8422c6e2-fd54-4664-bc5a-6fd542ab3724
143,143,Auto,2023-01-02,2025-03-28,4926.45,c60a3edc-f233-47d7-b75f-383ee9a37a1e
144,144,Health,2021-10-21,2025-11-14,3652.08,f516c2b4-b017-4f51-b40d-200c720b1896
145,145,Auto,2024-04-29,2027-08-01,1369.37,2f619eda-cf98-4c78-8f6c-127f9e6385a7
146,146,Auto,2021-11-26,2025-12-10,4395.33,5e7bec1a-5929-4cf4-bd74-70c50475ce9e
147,147,Health,2020-12-11,2027-09-04,3980.22,81c59a7f-07d8-4d75-ae05-df4092544d1d
148,148,Health,2021-07-02,2027-05-15,2926.9,1c1c5d7f-319b-450b-a31e-473155618623
149,149,Life,2021-05-07,2024-12-25,1781.33,43724a6f-330a-40b9-99bc-42332043a096
150,150,Home,2022-07-02,2029-07-08,1115.04,15b38881-4f45-460f-81d6-6ee5b7ab043a
151,151,Health,2022-07-05,2029-06-02,4342.9,01a9302d-f8ec-4399-8f24-ddebda44ea8d
152,152,Home,2023-06-09,2025-05-27,1285.37,ba48f158-a1cb-44b1-82cf-9bedabe08240
153,153,Auto,2021-09-20,2024-09-11,2896.1,1e117e7a-c8e0-4f8d-a733-56203218b8d7
154,154,Auto,2021-12-23,2026-06-14,2949.87,20e59500-1db0-477f-bb0e-d94431c05805
155,155,Life,2023-02-28,2027-08-06,1670.16,a369b35d-824c-434d-90d8-983de64106ca
156,156,Auto,2019-11-25,2027-03-06,1254.66,77266332-b38b-4a8d-8c23-2655dd603278
157,157,Home,2024-04-06,2028-09-24,4284.02,7bb1fc79-3b7f-47cf-9e6f-83494e1c626e
158,158,Home,2023-04-01,2027-12-14,3792.37,7394c46b-5577-4e3c-bf54-5da249486d33
159,159,Life,2020-12-10,2028-02-05,4395.25,3969dea5-5cf0-4c08-893d-aa6f47dd5f5f
160,160,Auto,2021-10-20,2028-06-30,4231.85,fe4148cf-6290-4c32-a1ee-7e3428cf8768
161,161,Life,2023-09-12,2027-12-01,4804.74,5e5cfbf7-ea07-46a5-acde-e15f3b7ae4f5
162,162,Health,2023-02-23,2028-12-26,1257.47,89e08914-fd60-4376-8af6-9a63ce876dd2
163,163,Health,2021-05-25,2025-09-04,3656.44,c9912fae-f40f-462b-a4c2-80a5d8b28785
164,164,Health,2020-12-01,2025-03-01,2720.98,aba7f8ce-4a88-4aad-9f42-a6323af06ac6
165,165,Auto,2022-05-23,2026-06-05,1190.07,c9ae5f63-e629-4870-aa29-45647019a95d
166,166,Life,2023-02-13,2027-07-09,1276.49,502ab684-cb93-49e0-8125-526d62a9cbc1
167,167,Life,2019-12-14,2026-10-05,2025.89,9699e11d-797f-4725-99be-bd030f0f9906
168,168,Life,2022-04-14,2027-02-01,1250.45,ab60258b-e67a-4ff3-85c9-b1e7a3b2d139
169,169,Home,2022-07-15,2028-02-28,2454.07,4546bfac-8aa1-4b7b-bd3e-4aa53a26f26b
170,170,Auto,2024-02-15,2027-05-20,3985.32,8c48b7f2-12d7-4372-8dcf-b51b9fe3718d
171,171,Home,2019-12-22,2029-01-12,3080.02,58a29d09-1754-400e-8653-a22e3c98cb04
172,172,Auto,2019-11-24,2024-10-10,2980.49,4aeb4834-560d-45e8-833a-070a099d0069
173,173,Health,2021-10-28,2028-05-21,2035.72,99d73044-0951-46bc-a23c-bf45361b7655
174,174,Home,2024-06-08,2026-05-19,2001.71,aedc93e5-b08c-4583-8b98-a6c0a6d13b6b
175,175,Home,2021-01-04,2027-03-20,3508.06,9cfc714d-e51e-4494-848d-f91862305fc4
176,176,Home,2022-10-27,2026-11-09,1136.07,839994e9-e451-4b54-b6fd-5943eaf8d275
177,177,Life,2023-01-04,2028-02-24,2034.91,28525e27-188c-4173-99d6-dff3b7aaf17b
178,178,Health,2023-09-09,2028-08-22,1629.93,415780ad-b67f-4d38-b541-7e964e2a8270
179,179,Health,2020-12-07,2026-09-06,3311.76,843f6b2e-2133-4bd6-89d2-28d35c0d56ec
180,180,Life,2021-11-25,2026-06-30,1854.13,85b862af-1344-44f9-b941-d1bf4b99ecc6
181,181,Health,2024-01-17,2025-07-29,4858.58,ad5f94df-f66c-4da8-8bde-6814efd0eb13
182,182,Health,2020-12-09,2024-12-09,3692.6,272d239c-e2a2-4aa4-8c61-575b26d9dd57
183,183,Life,2022-09-24,2026-10-25,1777.77,fe683654-004c-4c30-8ccf-719e8dbbc2b2
184,184,Auto,2023-02-20,2028-04-01,1721.87,2e636fb3-2f08-4424-b0f2-8c72357f2bb1
185,185,Health,2019-09-10,2025-12-07,1786.21,a2f793ce-8a4f-49b4-a8f5-5d3f4fc21f2f
186,186,Auto,2021-12-08,2026-12-24,4651.9,40fffd8d-3810-4a36-aa31-a2e8222c5ec4
187,187,Health,2020-09-24,2027-05-27,3120.33,28f45334-d32e-4604-905b-20441fe7956a
188,188,Health,2020-06-13,2028-09-04,2849.97,5c086c05-f984-42c2-9634-45736922e8cb
189,189,Life,2021-02-17,2024-07-20,4040.76,b7995ab5-1908-4c05-954e-695ebc45133d
190,190,Life,2020-04-09,2029-02-01,3703.95,93d02d35-dba7-4cc4-b24e-a97291ee7bb0
191,191,Home,2021-03-01,2027-11-22,4438.07,b72bce46-4384-43ef-830d-3ab12d359bd5
192,192,Health,2023-08-07,2028-12-04,1605.2,3ef59e93-3ac9-4827-990a-1e00346850c0
193,193,Home,2022-07-20,2026-08-25,1931.29,da4807f2-4c93-43ff-8965-8c9c6e9ca3c5
194,194,Life,2020-10-03,2029-07-06,2801.75,f014d2a5-b316-4b8d-80e9-3e7d22ea9d8c
195,195,Home,2019-07-21,2025-06-03,2228.32,97522ae5-53ee-4870-b626-42c73ae6be78
196,196,Health,2024-02-04,2026-01-30,1954.26,c3ef9378-105a-4180-9a87-fc3cf9158fa6
197,197,Life,2021-12-07,2029-04-09,2143.82,91f496e4-0c1f-4343-85cf-a95b76acda30
198,198,Health,2022-12-04,2025-06-23,3697.25,2d471063-6be4-455a-aa14-9781b0483803
199,199,Life,2020-03-08,2027-05-31,1266.48,27e099a8-fcc8-4a22-8caa-a40c84df75ad
200,200,Home,2020-04-26,2029-04-27,3588.34,2d632bd1-29f0-402a-9259-07d85d1486d8
201,201,Home,2022-03-30,2028-05-15,2965.58,a5c3ff5d-1557-4c59-a710-ed9ccecae180
202,202,Home,2024-01-30,2026-01-19,3224.64,74585cee-3c4e-42d6-8f69-171b52196c71
203,203,Home,2023-10-03,2025-01-13,2668.43,f27af9d1-c960-4c19-8bbf-9c8a1238f1bc
204,204,Life,2024-03-12,2027-04-16,2427.37,8273eaed-0f45-4a69-8f89-55f557283429
205,205,Home,2020-09-30,2024-08-12,4170.84,6efbda1f-d981-495b-ab8c-7f0a0d3f59f2
206,206,Health,2020-07-23,2024-07-31,2951.16,f1201dad-8b4a-484d-9787-353ef2b1be12
207,207,Health,2021-01-17,2028-02-05,3967.0,21dde077-f157-4af7-8eca-86f5882b63b5
208,208,Life,2022-03-22,2027-10-08,4733.0,5470fe9a-7b5b-4d30-8882-d3e4f9cabb32
209,209,Life,2024-02-04,2027-11-06,1726.61,dc5871a7-0d19-45c0-b5ce-e2eb8e7c2064
210,210,Health,2021-08-01,2029-04-12,4884.58,455e3d20-452f-46fd-8bf7-ee2f05b26de6
211,211,Health,2021-01-19,2028-07-20,3727.45,0625e92a-3324-42ce-8b94-a79ea4f35366
212,212,Life,2022-01-26,2029-01-06,4604.28,9d061190-d2ce-4eab-a9e1-5fabf6cd6b01
213,213,Health,2022-07-12,2026-08-20,4835.47,70ecda52-6d95-4b90-a596-5b01c4a1106a
214,214,Auto,2023-01-03,2026-04-12,4628.58,05718302-2dd1-4d82-a39c-19c92ac641ab
215,215,Life,2022-11-30,2026-08-18,2368.95,ff900cec-166c-4bcf-92da-9f51fa938221
216,216,Auto,2021-11-29,2025-02-28,2560.93,eca94189-7785-448d-a6cb-58bd93ddaf07
217,217,Health,2021-01-03,2025-06-17,4309.13,8272b66e-2cb2-4f2b-a023-b0d6e5a10c2b
218,218,Auto,2024-02-04,2027-02-07,3704.46,5992d9cb-73de-4db2-89ed-ab1f8d90bb29
219,219,Home,2022-03-06,2028-04-26,2212.64,9d9b1f87-63e8-4608-9f43-3d3e4cd4c27c
220,220,Home,2019-08-17,2026-02-17,1280.07,e5729508-4528-434e-a929-8426886ff1e0
221,221,Health,2022-07-05,2027-03-07,3986.3,b7091188-7d60-4b45-93c2-14351cd88ed0
222,222,Home,2024-03-27,2028-08-10,1611.91,b252be85-267d-4e56-bd29-0e179238d126
223,223,Auto,2020-03-25,2027-04-01,2019.51,99ed2046-457e-495d-94aa-4bc9250bb6a7
224,224,Health,2022-02-23,2026-01-04,2784.34,3d6b56a0-2170-4fad-a7d3-367ef04ae60a
225,225,Health,2021-08-06,2028-06-12,4137.1,d4e5dea0-ca99-4fbf-95d4-43450f643041
226,226,Life,2019-08-11,2028-05-04,3320.58,74de703b-17a1-4018-aecf-aefedac68e10
227,227,Health,2021-02-03,2027-01-30,3870.97,63ef54f5-8db9-41ca-a828-5520cbd97df7
228,228,Health,2020-07-17,2028-08-09,2508.09,ecbf1edb-aa11-48f2-b3c9-1cffdda048f2
229,229,Health,2022-11-15,2026-08-15,1093.21,58d3de20-fe2c-41ee-bd8d-1b6d87489df8
230,230,Life,2020-02-08,2026-12-31,3207.34,eb5a49c6-0424-4bfb-92d3-267378b07a7a
231,231,Auto,2023-07-20,2026-09-09,2059.38,09f2165e-45e3-454b-931b-826e42d0d946
232,232,Life,2021-11-27,2029-03-13,2972.11,e9d0341b-3ffb-4e17-972e-dd9dafb4b231
233,233,Health,2019-09-22,2026-01-02,3796.18,b5c14ae4-4b6d-47e3-a986-adc91e4e8599
234,234,Life,2021-11-10,2028-08-28,2561.77,aef73c3e-201d-4883-aa28-3d497b842d58
235,235,Health,2021-07-03,2026-03-13,1077.4,26b8ec60-5bd0-4cbf-9f17-0ad05a7c9fe9
236,236,Auto,2023-01-02,2029-06-07,1673.97,7097a81e-5ac8-4d55-a992-f6dc4419809c
237,237,Auto,2021-08-19,2028-09-04,4489.88,ce4c518f-174e-4ac4-ad38-27169a63ab6e
238,238,Auto,2023-10-21,2028-04-21,3112.6,56cfc040-ac7e-44ce-9994-1eef00ace6c6
239,239,Home,2023-07-10,2024-09-05,4743.52,6be8e7f1-fc4c-4eef-a822-45b6f9c1ed56
240,240,Home,2023-05-03,2025-01-29,1377.72,1f35ca6f-45f6-4e72-8bc4-89bcf1ab4b26
241,241,Home,2020-05-05,2026-10-23,4377.3,9c4c241c-d961-40be-9e89-dfed78ba5e49
242,242,Auto,2023-07-08,2028-07-11,1756.02,0d346cf2-5b48-4dda-a723-e340d7466ae3
243,243,Home,2019-09-10,2027-03-10,4322.5,40aaa93e-710b-4bd1-b69f-48ed4f9bb99a
244,244,Health,2021-05-04,2029-01-02,2670.43,f1e1ce24-b81d-4aa2-8546-cbdf9311efa2
245,245,Life,2020-04-14,2025-09-25,4384.66,38ca3096-9d9a-49b5-931d-2042d4d35c1c
246,246,Auto,2023-02-23,2028-03-16,2705.02,891374d9-953b-45e8-ba0a-de21df1e53f9
247,247,Home,2021-10-11,2029-01-27,2359.23,fa22adf9-be78-4af0-9d94-7d371506fb0b
248,248,Auto,2020-04-29,2024-12-07,2170.76,075b475c-3a96-49b3-8b21-78c4b7d4df13
249,249,Home,2024-05-12,2027-01-14,3805.34,5da47b04-7e24-466a-9b3e-a57a3965c289
250,250,Health,2020-03-30,2029-02-08,4122.75,08e3f41e-67fa-4ea9-b465-0c72e90479c1
251,251,Auto,2022-12-06,2029-05-26,2582.89,2d745a2e-48bc-4d7a-8b6b-854b48ea2fc1
252,252,Life,2020-02-29,2025-04-24,1713.76,994d5b25-b1e9-4913-80d2-c7b716cc60c2
253,253,Auto,2022-09-21,2025-07-01,1742.49,e2bfe2b7-7829-4fe9-a4fc-6bda13289984
254,254,Health,2020-08-13,2028-06-26,2189.53,d4d42f5d-02bb-4c44-beca-a83a5574166e
255,255,Home,2022-02-25,2025-12-20,1540.95,55f7caae-fab8-44db-b4c6-7f9b08955890
256,256,Auto,2021-02-16,2028-03-12,1817.85,0add72d0-eaeb-4c1e-9781-0c640709982f
257,257,Home,2023-08-15,2026-06-13,1898.94,ed64793b-8493-4625-9821-314a70655bb8
258,258,Auto,2021-03-29,2025-03-12,4183.86,bb62861f-4912-4960-91c8-b14a5758fb84
259,259,Home,2024-05-03,2028-11-07,4306.68,2d66a0bb-f613-4b08-a177-0cab80409e48
260,260,Auto,2020-08-03,2028-07-03,4808.24,49da948b-330e-4fcd-82d4-6c5546f67e7a
