ClaimID,CustomerID,ClaimDate,ClaimAmount,ClaimStatus,claimid
42,224,2022-10-05,13101.88,Rejected,ec897ae8-383e-43dd-8bdc-2687485627e1
43,812,2022-08-18,7600.89,Rejected,67c8ee63-4e12-451a-82d2-6bd55943b565
44,829,2023-09-23,11837.52,Approved,f2b4fdd4-2c03-41cd-80e5-09b2a61cf49b
45,1790,2022-09-03,6235.06,Rejected,35dd508a-64b4-49f3-95b2-1e7c5c36dbd6
46,547,2023-06-13,931.74,Pending,0bcda004-5a18-42c0-8798-34ef1c1c7d78
47,1217,2022-08-30,19018.77,Pending,db22fb61-8ca3-49dd-8260-52f9e4a52660
48,1402,2022-12-16,15853.3,Approved,a5eeffd3-9dd2-4d18-9315-7e3ee6b5473e
49,1583,2023-07-06,13528.84,Pending,32de73a3-da94-496f-a4de-840feafb3cb8
50,1052,2022-10-22,841.99,Pending,e40e8fbd-cbed-43e3-9f9a-8fda5b2c1e92
51,482,2024-04-30,13796.1,Rejected,01b29214-c50d-43d1-8107-a5bbcfa10b95
52,535,2024-02-01,3634.92,Pending,8cd2c423-7a0b-455d-9c5d-e6b3cb08861a
53,423,2023-07-21,18648.44,Pending,05d84490-6a2b-4b0c-850d-855e462b2cb1
54,461,2022-10-07,4339.31,Approved,dd5b4bca-226b-4423-8d81-d3f408126ad1
55,874,2023-09-21,14792.71,Rejected,50d4d141-c66a-414a-ad8d-293441271603
56,1345,2023-07-19,13117.95,Rejected,8adab1a8-0eb8-49cd-b640-0232407eee55
57,609,2023-06-30,16154.03,Pending,35a9b26e-7184-445e-912d-c30bfc43d4d5
58,1513,2023-03-31,7957.64,Approved,4ef7664d-5a27-4d28-a10d-88e2bc8192ae
59,201,2024-05-04,4667.98,Pending,ba8a3851-d0fe-4fad-ae58-91361af923b0
60,1033,2024-02-19,15430.7,Approved,7ef14da0-3424-4bde-8a53-f29391d2c1ce
61,185,2024-05-10,2380.04,Rejected,b6f15e74-05f2-4ca6-809b-4bc928939dde
62,194,2023-03-16,5022.18,Approved,6fb5df0a-93d1-473c-92e0-76ec8f284c5b
63,332,2024-05-13,3234.55,Approved,71d1429c-7490-46f4-a112-c68b8c09198d
64,525,2022-07-28,16391.62,Pending,12270a32-a785-43b7-b1af-c0da7d4ee3a9
65,209,2023-08-04,11325.54,Pending,453d23cc-2dda-4350-9170-3cc5b62b2876
66,840,2022-11-19,8459.5,Pending,312cae62-69cc-4ed2-8395-221fa031f3d8
67,1095,2023-03-03,7725.99,Rejected,38887a1e-9309-471c-8ecd-dda445070428
68,1367,2024-01-27,12086.06,Rejected,5b9f4ece-9d09-4574-8f1a-51f039ad2b95
69,1868,2024-03-08,6378.29,Pending,898718b3-8e17-4f9e-8c3f-f6b8a21e3162
70,732,2024-06-07,8254.15,Rejected,c0433613-ae22-4e45-b22c-9aa43fc395c7
71,1313,2023-02-05,7073.57,Rejected,60bb28b5-89dc-4901-a3f8-0d0461d7c4c1
72,298,2023-08-12,12030.5,Pending,469081a3-1e23-4d4c-a026-0bdbb404169c
73,905,2023-01-04,2207.93,Pending,675b713d-61fa-46cb-b9c5-481cc03f62bb
74,547,2024-02-29,9442.07,Rejected,d0c4ee7b-b1e7-425b-aac2-fe5704073617
75,1391,2023-12-18,4895.75,Pending,375715b1-5903-4276-b5da-9e84ab95c3e2
76,1743,2022-09-19,5311.53,Approved,87eee0a8-b4b6-418d-8b54-198adf7e2a9e
77,35,2022-10-28,5233.85,Approved,5d306bb8-bf1a-4b9a-8649-b2b6e267d129
78,176,2023-07-16,11211.79,Rejected,ad3533d8-2db9-4b44-a554-454e7c12fa58
79,1703,2022-10-16,1792.47,Pending,edc31da8-c41a-4897-a09d-7704074fbd7e
80,315,2024-04-23,3382.21,Rejected,c55776e6-bfbc-422b-acef-dbeb80ef9b52
81,400,2024-01-19,16724.1,Pending,4197a0e2-8039-4d65-8df0-57eb97c4c023
82,183,2023-09-02,2878.96,Pending,92a4f70a-74e2-4171-9e20-530683cb9553
83,973,2024-03-31,19491.08,Approved,d01b2b8c-f63f-40a4-8bfc-717241280c5e
84,1300,2022-10-11,14881.03,Pending,151535c8-73fb-4a4e-b650-f5960c197af3
85,393,2023-01-31,18632.41,Pending,ac541c08-5865-45e2-ad27-841619e8366c
86,934,2023-06-03,17278.47,Approved,ef5adb63-0c63-4f63-9181-4811529ea8f6
87,689,2022-12-10,10856.25,Approved,7f5f6fb0-f231-4825-987d-23be2056ee97
88,312,2024-01-04,4465.69,Rejected,408c137a-0b21-4bfd-88e7-e16a82a78f34
89,990,2023-10-22,11824.94,Rejected,7e5476bb-8c5a-4f99-ab94-aaa72d99ae8c
90,1830,2023-08-31,2957.75,Pending,d43a4c81-8f8d-43c1-ba40-32a91f7f0be1
91,157,2023-07-30,13469.21,Rejected,7758e003-68bf-4a9d-9952-0c81ffab5525
92,187,2024-01-31,7508.42,Approved,5667c32e-d7bb-476b-a24e-1ac31479db38
93,628,2024-03-20,13211.54,Approved,0d55e6b4-fdc3-4b88-97ed-344359c95bd5
94,1161,2022-12-24,11152.62,Pending,e8cb8a6f-ad16-45f9-8aac-535d4959f003
95,78,2022-08-17,18551.68,Pending,4af40a2b-0765-4d95-80ab-3fb0889d00a0
96,1320,2024-03-30,9262.61,Pending,fd8c8383-bfca-4d75-86df-43af41a223b7
97,455,2024-03-25,2320.19,Rejected,a9874c8c-ae0b-4c73-a3ad-f4901589461d
98,1648,2022-10-05,7667.83,Rejected,ab1ae5c7-624a-45ec-8d06-d26eaecae8da
99,95,2022-09-19,9996.15,Pending,9a904a52-b3d4-46db-b89a-15cd82e884a3
100,1144,2023-04-07,5056.48,Rejected,5574eb7d-0db8-4664-831f-0946208388c6
101,1285,2024-07-07,9481.53,Rejected,8ac287ba-c0ef-473d-8330-3fa26e2bb908
102,1442,2022-11-10,11781.09,Pending,ae32f7a0-8b5a-4e13-9400-b0407fbf2c48
103,43,2022-11-07,536.1,Pending,1aa29e1d-56a8-4dc8-8e22-70d9c8087931
104,646,2023-07-26,17574.21,Rejected,47400838-b517-4814-a7cf-b88c56766a31
105,96,2023-06-07,3274.61,Rejected,ab9990cc-ae32-46d5-b43d-aeb5395fd549
106,1710,2024-06-04,1415.68,Rejected,36e7d586-d7f0-44da-8369-4ef0075ed303
107,944,2024-07-12,8918.46,Pending,510057d6-602f-483a-b1b4-706bd955e372
108,693,2022-12-05,6639.8,Approved,839273c1-d82a-4818-bafd-10509979156d
109,709,2023-03-21,2982.36,Pending,1a7bab49-05a8-432f-88ea-d73b4283ce7c
110,1535,2024-07-03,14575.12,Pending,522a3b1f-75b7-48bb-a168-ba76fca6d57f
111,1423,2022-09-04,10720.2,Approved,a022a740-d7fb-4eca-aea4-d6460ef141cf
112,1818,2023-03-24,5863.01,Rejected,dd3ec3ab-6bbf-4bcb-8231-6489c035f588
113,1977,2024-04-04,2940.0,Pending,1de2bc3d-841f-4ad0-947f-970c853585cd
114,85,2023-02-17,13665.65,Pending,00fa2d68-5392-4762-b3f9-9947687b51b7
115,1758,2024-01-23,9833.31,Approved,be356690-3353-47d0-8fc6-9dbfd831ba30
116,1069,2023-03-05,9889.56,Pending,a0188073-6616-4fa4-9f19-2890618a9b59
117,279,2024-06-14,4834.21,Rejected,0ec45278-7880-464f-80b0-eb7c7dd3da3b
118,331,2024-01-10,3450.98,Pending,558c7d19-a005-480d-adfb-d5df0bc449cd
119,1874,2023-08-07,10116.65,Rejected,a4cfb1bb-fa56-49e7-af85-d7abd196432f
120,1228,2022-07-20,1081.17,Pending,1d73a155-6793-4be3-b1cd-c80a8a86a2a3
121,780,2023-07-18,13588.87,Rejected,51176bbf-52bb-46c8-a0fb-beb2e3e06d4f
122,1492,2024-07-17,12896.38,Rejected,c8d27b2f-8e5c-4ce5-8184-e86d42f79560
123,270,2023-07-05,19929.28,Approved,f5eab07d-dd68-4f0f-9bce-41dbaf9bb515
124,676,2023-04-27,1787.15,Rejected,e151a323-e152-4a18-9585-de41d41e3c1c
125,1870,2022-07-31,14455.06,Rejected,211788c4-91f3-4698-8b62-ecdc5bffb59b
126,1205,2023-09-06,16338.03,Pending,73468468-6003-4b13-a31b-0171586cb5cc
127,1251,2024-04-26,2564.75,Pending,3dbcbda2-20f3-4b31-8880-0aad8cee1c44
128,797,2023-11-18,18320.93,Rejected,3c8acf97-b099-4556-818e-8269ea227f88
129,1852,2024-04-25,14888.35,Approved,3b874403-bb22-486d-9632-f3c8fdb34cc9
130,1976,2023-04-13,14031.33,Rejected,362917b7-315d-480d-945c-29d55a971189
131,1893,2024-07-06,3167.06,Approved,91042989-caee-45a8-8220-77d84e344e7e
132,167,2024-04-26,5004.02,Pending,94bdb666-05dc-4dff-b380-c8b6dbc5e619
133,1476,2024-03-26,3409.7,Rejected,9fc0c032-d4d8-4304-825a-b47758716238
134,356,2023-04-06,2827.03,Pending,e7395bd1-c5ed-426f-b6bf-67076a7a2306
135,1862,2023-02-27,10002.63,Rejected,39b950a8-ae02-4ee7-9ea4-1a2a42d7bdeb
136,1765,2022-10-01,4750.15,Rejected,84be2b04-7594-4225-9962-25aae7f9b427
137,15,2023-09-20,10655.28,Rejected,84362e86-a1b3-43e4-b32e-335fe82cd943
138,384,2024-02-11,13071.4,Approved,60b5ebf7-049d-4f19-bd3b-ce87569d9123
139,595,2023-04-11,16285.91,Pending,021ed750-75be-426f-b3e3-48264ca7f565
140,529,2023-09-19,16866.13,Approved,981b0307-70f3-4960-8652-0ab42a94d086
141,255,2022-09-22,8174.55,Pending,e29458c9-642f-4de5-97d3-1a6c91a1bbca
142,1542,2022-12-15,6273.53,Approved,1bd1ae8c-8b42-4267-a088-f38bb71e5211
143,1826,2023-12-12,15463.09,Pending,40e0a97a-b3b4-4dc5-acbf-6fa706ec5874
144,581,2024-03-16,2774.56,Pending,c5ee6fd8-e7ab-4bb6-bfd5-534561877e34
145,138,2023-02-07,15895.88,Pending,912ad917-d1f6-4d3e-8a5c-2ed6f3a1c6df
146,1843,2023-07-02,15881.91,Pending,65ff3fbe-a32d-4d03-a3c1-7309bf03c9ab
147,1543,2023-01-19,6586.87,Rejected,802ebffd-c2e7-4a70-9ffa-9021d2e49bc3
148,1040,2022-10-08,4682.2,Pending,1f583856-264e-478d-8ab8-47715ec82b81
149,984,2022-09-17,4219.89,Rejected,a42826d1-9fe3-4b2e-88da-55882efc52e2
150,156,2023-11-24,1997.34,Rejected,a5e676a9-2c04-4645-97c1-f35ec1eea4b5
151,1575,2023-05-18,11448.63,Rejected,0a050e4d-cf07-490e-893c-fad1f9332b4e
152,602,2024-02-18,8275.38,Rejected,aac7c7cd-4f1d-492f-a7e6-a67afc70c1d3
153,1837,2023-12-17,6300.9,Approved,1b87e04f-78ab-4b68-b8a3-493accc953c0
154,1432,2022-10-04,16076.19,Approved,82935eab-3ad5-4613-b1d1-3612957dd4f1
155,452,2023-06-18,3855.61,Approved,fcd506ca-6186-430d-b50c-25379a1b299b
156,1071,2023-05-01,9741.78,Pending,3e0a377d-0e8c-4f3b-80eb-5ef574b2b9fe
157,302,2024-05-20,3244.47,Pending,ae37e4ef-b174-4f1b-840d-58b4bbbf02f7
158,31,2022-12-04,1679.32,Rejected,40556f9e-9294-42ef-a4f0-b7fd73e4df10
159,1871,2022-10-23,13041.24,Rejected,6333d10b-d2b3-4619-b0be-d53728366792
160,1733,2023-07-18,19178.79,Pending,dd3fcdce-5ba1-4204-a3f2-b92b10066cc7
161,864,2023-11-08,14915.71,Pending,2ed1601e-32c3-4d5b-826b-0dd078bb5da4
162,1588,2023-10-21,10384.87,Rejected,c15dcd56-82ce-4e2b-8561-f454dd5d32a9
163,275,2024-03-20,6949.26,Pending,d5998943-a90b-4ed1-a105-7ca3a96d8195
164,915,2023-12-31,2736.07,Pending,f715d60b-1980-494e-8185-2a0586abdda4
165,66,2022-11-12,4224.28,Pending,6ed89112-3095-42c5-b67f-3000af52dbde
166,1410,2024-06-03,8812.69,Pending,5ff112d8-e407-4ba5-98e3-db3b8a23eebc
167,1357,2022-09-25,18423.95,Approved,0813b91b-8c86-4e3a-a9b4-f5d4d4292c02
168,1245,2023-06-03,2405.55,Pending,b5fa1bfc-2a5a-44ce-b2a8-0e9671fcfa46
169,781,2024-03-07,8084.05,Pending,da2978ae-91a5-4582-b5aa-2f7affdb6b8f
170,1697,2022-12-30,19670.04,Rejected,1ad6e93f-4c2b-4a02-95e8-eb4adf96b748
171,595,2023-12-08,7930.79,Rejected,7fc5874d-3cc8-45ec-881a-6c79af4847ee
172,842,2023-09-10,14551.43,Approved,bb07707f-0131-4ac9-a5aa-cee8b5e34b13
173,744,2022-10-03,17634.95,Approved,92102eaf-3aaa-4498-9de1-4c7b524aa06a
174,1729,2023-10-22,3650.69,Rejected,08d60b0c-1af5-4eee-b1d9-3fef0c9fc265
175,413,2024-02-29,17732.98,Pending,efb23485-584b-4db0-8f05-48b02f917823
176,193,2024-03-08,10867.13,Pending,38033c63-b142-4774-8181-c9a9b3bb93dd
177,1013,2022-12-24,5412.72,Rejected,55a04ab6-46c7-4aa3-8d6f-36581f453da6
178,1230,2024-05-07,17571.9,Rejected,b9f8f6a0-e5f8-4544-bc41-d31bf5a6cefd
179,1412,2023-04-24,16637.88,Approved,c0d84218-9df2-4875-b6c0-d7f70dac3d07
180,162,2022-07-30,9187.18,Approved,50a23123-6f94-4acd-9254-4f042f2d16b0
181,207,2022-08-27,7358.52,Pending,dbcedd3b-5a0e-4f64-bc2c-8716f7967cf7
182,573,2023-06-19,2139.94,Pending,ed110cf2-56e2-4c40-9258-1de548f86f1e
183,1041,2024-04-10,17275.86,Rejected,20865637-054a-4cd1-a1c4-e310449ac98f
184,1438,2024-07-14,15141.21,Pending,06cadeda-cef9-4453-bb37-b09f23120914
185,627,2023-12-21,19548.67,Pending,68f93bdd-d656-498e-9377-3be1c81f471e
186,754,2023-07-11,13703.27,Approved,8fb5ec36-7368-485a-85de-48efcce7a030
187,10,2024-05-16,6322.86,Pending,bf8e1584-4e97-4d1e-83a6-fd4e38bf5176
188,1940,2022-10-14,15521.27,Rejected,f7433f8f-5c7d-4c59-884f-05fe50e8d772
189,708,2024-03-20,3105.88,Pending,8565c933-cb98-4a82-ba5e-bf37423a4bbb
190,407,2024-01-10,7881.08,Approved,11c9e1a8-8f64-4a09-aa79-b9f49916d01f
191,1102,2022-12-26,9421.91,Rejected,2ff9f700-99f6-46bd-9c25-dd4ee029c6ad
192,404,2023-02-15,15449.7,Rejected,97c1f0af-7df1-480c-8aeb-f9f71116a387
193,246,2022-10-08,9127.4,Approved,ef02c772-8bc4-4db3-b961-6d16cc34d477
194,1677,2022-12-23,615.09,Rejected,8a53f793-a331-4ca9-a877-2eabd7b6091d
195,208,2022-12-15,5963.12,Rejected,d9ca67d1-9ca1-44e7-a458-0b94175f4427
196,443,2023-03-07,11291.42,Pending,ca83575b-ff0b-4736-abc1-751653af4c3f
197,466,2023-03-21,1502.52,Rejected,d1154954-b96b-4f38-bb07-6e4d49330b52
198,283,2024-04-24,6439.42,Pending,3b6cf490-188b-4b07-8ef9-6607c7e516ba
199,417,2022-09-02,2328.36,Rejected,ca4debac-3aac-42c5-8a0c-5503f7ebe2af
200,1264,2024-07-02,8272.92,Approved,220bd5ae-af95-46ef-b3fc-2ae1419de2f9
201,1230,2024-01-01,5312.43,Approved,c54b8a6d-8499-4477-8bda-cb0e4f23e439
202,1941,2024-01-29,1393.54,Approved,3021b863-fdd7-4138-b105-f2174f497169
203,1237,2024-03-05,10532.26,Approved,3d1565fa-c032-4861-ad02-f7d65daccd53
204,467,2024-01-01,3014.66,Pending,1ffa278a-b74d-4a84-b2e4-784580cae68e
205,1659,2023-06-09,6663.6,Rejected,589ee1d4-958d-4f49-a281-fa0085dc1c53
206,769,2024-01-26,2208.83,Rejected,b5ffe002-198e-4b91-b2b3-2004941d8ae6
207,1433,2024-06-28,11655.87,Rejected,1396c059-6d02-4677-8039-5f1159cc003a
208,1248,2022-09-19,10536.94,Pending,57165ece-3b43-4df1-ad55-3aae31772c08
209,1505,2024-05-24,11087.05,Approved,5a6b67db-67dc-495d-91af-6aec6faf0b3d
210,434,2023-12-05,7747.14,Rejected,9cd2e0b2-e288-4bb2-a96d-6df5474a3365
211,1110,2022-10-20,3639.34,Approved,e1bcffb6-8f38-4750-a07b-27e11b703b38
212,1162,2023-07-10,11051.89,Approved,b286a337-aa31-484e-9742-5099bbeb8ec3
213,1918,2024-05-21,3754.64,Approved,5b509245-26b0-4e98-aa48-04e1885b6c54
214,279,2022-10-06,2779.0,Rejected,d894ef1f-8deb-4f25-973a-51d8ff828343
215,504,2024-03-11,8220.41,Rejected,60ad5b0f-3698-4b4f-b416-378591b26d6d
216,250,2024-02-19,7088.27,Pending,8ab8a961-4013-42c5-9774-bac082609d44
217,855,2022-12-27,19343.93,Rejected,d24d6583-0616-4383-b514-40dbc56b06ac
218,1117,2022-10-10,13397.72,Approved,86713188-c712-4657-8bb3-e7dff4b2b935
219,1300,2023-06-19,2924.12,Pending,a8fe21c4-0483-4c9f-85c3-3b8448d96503
220,311,2023-11-19,1611.99,Pending,04290107-2404-4cb9-b47d-b06583cb5b79
221,1914,2023-03-07,2109.75,Rejected,6da5f56d-21f6-4c75-bb48-90f5d5e6db1e
222,1723,2022-08-10,10570.56,Approved,4d229b59-ffc6-4af0-8db4-b78c6783aa54
223,394,2024-05-04,8294.98,Approved,7e90b4a1-c115-4eaf-affd-f68961e3bc13
224,1118,2022-11-04,13199.72,Approved,612edf27-6df0-4c4d-91f1-c2b0c1bd0d24
225,1910,2023-06-08,16136.36,Pending,e18ae00c-7570-45d3-ba6c-b4b74da97201
226,635,2023-07-02,12115.21,Approved,11543ef1-a231-45a1-81bb-e5c5387cd7c1
227,1239,2023-11-22,16553.48,Pending,2ecd70c3-afee-4e49-876a-a92690cf5fed
228,880,2022-10-08,17640.74,Rejected,aef2c2c0-b17c-4f68-81b4-0e03063a94a7
229,1474,2024-06-05,9918.0,Rejected,3c68790a-b8ff-4739-b7b2-58fd9ba61216
230,1878,2024-02-13,8097.41,Pending,ff157e01-df82-4bd3-aeaa-554367426c3c
231,911,2024-05-12,10953.52,Pending,3c95b0a1-3b02-49df-826b-3513a29db625
232,1250,2023-01-27,7845.3,Rejected,cb960db9-6640-41c5-bea8-3ace068fd89d
233,1579,2023-01-19,10183.92,Approved,d4da6aba-edc0-4a66-96a4-86bc90c04b34
234,267,2023-01-09,15423.0,Rejected,d1522ed7-eeb9-462d-9adf-29d074a78bd1
235,1878,2023-10-25,17721.27,Pending,b22ba1b8-b7bf-4677-9008-48e2434b204a
236,532,2024-04-25,7014.44,Rejected,b6e5e89f-7200-4d0a-99be-f6092672c8fd
237,117,2022-08-21,7170.89,Approved,f2694503-1e3b-492b-857e-0e484adb7b27
238,1984,2023-01-14,5256.47,Pending,a6679fe2-6b90-4736-aa41-a5fc8a1fbf4e
239,22,2023-09-24,18080.04,Rejected,1e27d2c9-398e-4e68-abfa-17af89fe22ed
240,1654,2023-01-04,1571.28,Pending,3647f17d-0324-46f2-b8f3-1e1e32dd5003
241,555,2023-08-19,2485.79,Approved,fa82a54a-9bbc-429e-b069-1fbe7836643b
242,11,2022-08-02,10333.71,Pending,f6e92928-9433-4b27-97db-e3cca45c3334
243,1032,2024-06-28,17920.25,Approved,11df13ac-cdd5-4541-b93b-eb4b777a8157
244,796,2023-12-30,7389.11,Approved,56c23aa7-8a14-4ae0-a954-5d326ece3f4f
245,555,2024-06-30,12628.16,Rejected,8b7f0232-e492-4911-8714-b7289803e50d
246,1246,2024-01-26,4061.26,Rejected,59decf60-60c2-439c-ac12-b8f2e47b1f97
247,467,2024-03-29,15293.85,Approved,558e9086-c8ac-4e7a-b0c3-81cee7946cb4
248,188,2022-11-26,4435.23,Pending,3bb98507-0f87-48dd-94e9-13466bf90733
249,527,2023-04-12,9675.03,Pending,ebd64454-546b-460d-84d2-ddf239f8bf45
250,703,2023-06-05,4041.94,Approved,6f09c80e-c65a-446b-b4a9-75bb898a83ab
251,1923,2024-04-26,17930.47,Pending,86f46537-7196-475e-9f6f-28678d167999
252,344,2023-12-22,16254.91,Rejected,595075d7-8261-448f-beda-651d4006c6e9
253,386,2023-12-18,8978.66,Pending,6ed05d94-296c-49b4-b136-3f1504bf52a8
254,335,2023-05-19,16445.28,Pending,19d9de85-c67d-4ce6-8d90-313f8e56c5cc
255,1069,2024-06-03,3787.86,Rejected,a58ecd5a-3c44-4ad2-bb6c-3a35e5b1e27a
256,34,2022-08-03,824.24,Approved,5cf5b56e-af41-4e1f-a8b0-9f2548133670
257,799,2022-12-15,13811.28,Pending,284bbd45-cf01-4a1c-86ea-f53660779fbf
258,1194,2023-10-25,795.04,Pending,4107dbc4-7650-48ec-b6e3-1bbdaf1873c9
259,322,2023-05-07,6084.26,Rejected,ebf07b3f-8652-4b3e-b86d-4b2d95b78eba
260,1341,2023-04-07,3200.33,Pending,c988eb52-eb55-42ab-bf03-e69d51708237
261,1121,2022-10-06,531.59,Pending,60e2d8df-8b3b-4b1a-a9f3-a2afd1d58f98
262,1926,2023-03-21,6563.16,Pending,d1f84646-9fe2-4f44-86d1-eefeb7afde20
263,1514,2023-08-25,15974.37,Pending,c2702c08-0a93-44e0-8e49-341c3a35224c
264,552,2023-12-21,14860.14,Approved,85d6e074-f5b5-4b61-b251-e3fc637060f6
265,1106,2023-11-29,15905.18,Rejected,8bf75b44-da2e-463c-bfbd-4a1d1721d04f
266,262,2023-11-19,15440.81,Rejected,9e23a8d0-f6a0-40bb-8eac-887fd770c4e5
267,963,2023-04-15,19869.22,Rejected,2d14c4b5-cec7-445f-8836-342270aaf360
268,615,2022-12-18,10609.41,Rejected,63eef452-af4b-4594-92f5-e4ece19191e9
269,647,2023-07-10,15203.16,Rejected,4950189b-536a-48d9-9cc9-a7d05abb59af
270,1356,2022-11-14,7161.28,Rejected,c53219d2-9167-41b2-a36c-02e6ef3524fc
271,879,2024-03-04,19337.4,Pending,b83a1d58-737f-43ce-9ad1-dbeea08c0a54
272,829,2023-12-16,2410.97,Approved,3a5b6560-e1c3-4581-be8e-032017c50a20
273,1940,2023-10-30,15554.41,Rejected,65c05d55-7439-459f-83ed-67949ceb6f6b
274,1379,2022-11-30,16126.82,Pending,3c1bdeb8-8e77-4e9d-9dca-80ec9e0bf255
275,692,2023-06-17,12934.95,Pending,de52f8a0-54d5-46b0-a298-30945b2199b0
276,28,2023-05-04,16820.95,Rejected,39f8367d-7c0a-4d6d-9222-bfebdb0e7b14
277,1244,2022-08-25,12595.93,Pending,17bdeac7-ec7e-45dd-943f-cad06f3df784
278,867,2024-03-11,11928.28,Pending,abd9227b-cc36-4754-b051-db028f2e015b
279,824,2023-01-22,3684.27,Approved,6e611710-a714-4e76-b18b-1c31cef2667e
280,1865,2023-08-04,17867.22,Pending,bce67c38-561c-4575-bc6e-bcf0e69d416d
281,1497,2023-06-05,6552.0,Pending,82ad2b16-e23b-4d67-8fa4-063b1927e805
282,1836,2022-11-02,9096.32,Approved,8d3a76f9-5f36-47ae-9c59-5ee00fbefb25
283,1600,2023-09-30,15875.15,Approved,e7574d11-b4c6-4411-90f4-33df16aec52e
284,1161,2023-11-27,8069.53,Pending,3b46b75b-4d64-4dd0-9c96-101f36a77197
285,785,2022-09-01,11916.38,Pending,b3f6063a-4ad7-4ca6-8e9b-b4257045e2b1
286,378,2024-04-01,16568.24,Rejected,9f3b3921-843b-4642-915b-a130ef9d4f5a
287,979,2023-02-06,2868.26,Pending,726c67eb-c687-4f55-9add-f70713bbeef7
288,1047,2023-02-27,17566.34,Approved,2d5cd6c3-41f1-4661-bb42-0312cc60d340
289,1723,2022-11-15,10371.5,Pending,fb51209e-3b11-4e5f-938a-1bcd357de237
