InteractionID,CustomerID,InteractionDate,InteractionType,InteractionOutcome,interactionid
48,1984,2024-06-12,Call,Unresolved,fa5e1502-b5c7-41fd-a4ec-67e8bb46f1d2
49,844,2024-02-19,Email,Resolved,24ef3d6f-f2d9-4eea-851b-f3e781f39563
50,943,2024-02-23,Call,Resolved,64d1f68a-dad2-4322-aeb5-4f8302615342
51,169,2024-07-03,Visit,Resolved,04cea2d7-497f-4d2d-8c4b-9fdf47849f57
52,52,2024-04-09,Email,Unresolved,aabfa50b-99e7-4413-9cbf-472c1e4c74ad
53,499,2024-02-13,Visit,Resolved,d4ea30ba-deb6-4772-b378-22133f8bc3df
54,1579,2024-04-03,Call,Unresolved,05206f74-e2f4-48ee-ac77-861195cf65cc
55,1113,2023-08-29,Call,Unresolved,50c62351-e14d-43b8-a70e-ec2fc77d4c80
56,819,2023-09-18,Call,Unresolved,68c9c0f7-b8f2-4d96-b155-aad2911b6c42
57,1667,2024-03-24,Call,Resolved,27bd0b47-d2b9-47cd-a0b7-061388658d24
58,1959,2023-12-12,Email,Unresolved,f703e7d1-7889-4751-af78-622b6a8da84c
59,1282,2024-06-28,Visit,Unresolved,3c57ec86-4ccc-442a-9c8b-f02c8970222e
60,308,2023-12-04,Visit,Resolved,05925fd7-88d8-4c3c-a7cd-c16da6400b83
61,1185,2024-02-06,Call,Resolved,8d9f8db3-855c-47e4-8e6e-997736103342
62,1863,2023-12-15,Call,Unresolved,eaff3712-8940-4f03-9e70-762fc3740b03
63,27,2023-12-05,Email,Unresolved,b0316011-4d6c-4132-b536-cb3d01ad4256
64,1333,2023-08-09,Visit,Unresolved,19d22954-e8d5-4741-80b5-a97f59421513
65,746,2024-02-25,Visit,Resolved,09ba1fc6-702f-4685-af16-a780b6155faa
66,1232,2023-08-31,Email,Resolved,ccb5feb1-a7a6-4ada-bf90-9168a01ecd86
67,533,2023-09-11,Visit,Unresolved,18e50c8b-df98-429f-9ab8-a56fe6a81d96
68,1082,2023-11-01,Visit,Unresolved,4be57989-ddc8-45a0-8cab-af30408e7e40
69,1834,2023-10-11,Email,Unresolved,da5fa886-f39f-4226-961e-e226d863c266
70,1504,2023-10-23,Email,Resolved,644504da-c275-4e27-a3aa-ad1ff32b88bf
71,1982,2023-08-28,Call,Unresolved,3bb45047-6a66-42d3-9749-5d6fa2dd9a3b
72,243,2024-02-01,Call,Resolved,103bf8a5-5ea4-4e94-823b-81a57c438fe3
73,57,2024-06-12,Email,Resolved,aa89dfa7-6072-449b-9231-41e0bd9fc038
74,679,2024-07-16,Visit,Resolved,ca5a25f9-954a-44e9-bfaf-e1587c4a95c2
75,768,2023-10-21,Email,Resolved,e82fc3ed-72c6-4fa7-a127-9476a61a7951
76,1556,2024-05-19,Call,Resolved,9692bee9-25cf-4fb8-afbf-25d6911a7aa3
77,1986,2024-06-29,Email,Resolved,2f558e11-2df0-46ce-824a-f15887828a02
78,1510,2024-05-17,Visit,Resolved,3b1677e3-1f57-4043-a9ec-9dcbc384fd40
79,1051,2024-05-08,Email,Unresolved,94f7290b-d419-48e4-bcf2-552eee0c70cb
80,1659,2024-04-08,Call,Resolved,d8393aca-f7c2-485c-9489-d1c85a19bcf7
81,900,2024-03-20,Email,Unresolved,b450062b-315f-4c07-b1ad-aabef65d38d5
82,1732,2024-04-08,Call,Unresolved,dff17662-9090-4e2f-aaf6-b440dbcb4fa6
83,1490,2023-08-17,Call,Unresolved,c55d0d05-ca44-4198-b8b6-6f3d54f0d07f
84,666,2023-07-21,Email,Unresolved,0591ee77-c56e-45ea-8cac-55dec71fc8ee
85,586,2023-09-14,Email,Unresolved,6b09065e-d24d-4bc5-a6fe-fa2ac55a01d4
86,541,2024-06-30,Call,Unresolved,8e131910-03c2-47b1-b658-0c15d69f828c
87,1278,2024-01-25,Email,Resolved,0232ff81-e952-4786-9414-1707f1f38b4f
88,215,2024-06-01,Call,Resolved,1cd56007-64ac-4563-b0e8-97f0c23fea68
89,1386,2023-12-09,Visit,Resolved,c219e923-4c35-443d-8213-c654e88c5409
90,1623,2023-08-28,Call,Resolved,ff306fbd-f6a3-4bfe-a0bd-60a125d3eaf6
91,1824,2024-05-10,Call,Unresolved,5cf355d5-6597-4a37-ad1d-29d2090c27b7
92,716,2024-06-29,Call,Resolved,183050df-0e6a-4e60-8265-d8bde0c5fc6b
93,1762,2024-01-11,Visit,Resolved,ea70dae7-8bf7-43ea-90b5-55cd437e7b4e
94,549,2024-06-14,Email,Unresolved,b3d35f2d-b28e-446f-b7dc-129a4864d1f1
95,747,2024-03-02,Email,Unresolved,de907645-b8c5-4a82-ab69-8087df880f93
96,1571,2024-01-01,Email,Resolved,fcf3f0fe-8934-43f0-a14d-bd4d5b7212a8
97,1234,2023-12-01,Call,Resolved,719e3d34-da51-4848-a5b0-6d5abeb54d23
98,381,2024-05-24,Email,Resolved,4467e2d1-2244-451e-811f-5164b069af2b
99,1928,2024-05-01,Email,Resolved,9414d42b-41a6-4484-a696-f29547e73791
100,1635,2023-10-12,Visit,Resolved,9a0d9f32-3941-4b84-8f7f-855ed7c89fb8
101,1871,2024-06-29,Visit,Resolved,cdbab234-1034-4c77-876b-d38f8e489e57
102,1797,2023-08-15,Email,Resolved,b027b166-77e9-40a5-b3e2-25ee2420a150
103,461,2024-06-05,Email,Resolved,890f8d67-ee1b-4035-964d-e455ae2571e2
104,1168,2023-11-06,Call,Resolved,f7f1fa89-8abe-44d5-9624-e8fdef7a12c7
105,194,2024-06-04,Visit,Resolved,0a274d7f-bb49-46f7-998f-44a56891c2c4
106,29,2024-05-13,Call,Resolved,c22769dc-19a4-45b3-93f2-e3933cffe1b2
107,1905,2024-01-21,Call,Resolved,06863350-2206-4108-ad70-e83fb532fa5a
108,812,2024-06-22,Email,Unresolved,df1f7036-0385-46f4-b593-0a5c450802f0
109,1271,2023-07-27,Email,Resolved,e42797d2-efff-44ab-9d4a-aec5e7792a32
110,483,2024-03-01,Email,Resolved,4cd2ac8c-784f-4dc6-a529-a92d5decbbeb
111,1408,2023-11-21,Call,Unresolved,29bac098-7384-4e17-8dc6-e322bd4fb9f6
112,1831,2023-09-24,Visit,Unresolved,f9a131df-1d56-4167-b929-fed01343870d
113,1674,2024-01-28,Call,Resolved,736ae454-c79f-493b-a40e-56d27613e74f
114,1705,2024-03-08,Visit,Resolved,7e3abba6-3581-4a6c-af80-3d4e8bc4cbbe
115,1021,2023-08-13,Email,Unresolved,133590a4-506e-4232-b244-ce1f3ff00b28
116,904,2023-12-06,Call,Resolved,157befd0-dbae-4ce7-a1ef-dce6e614784b
117,836,2023-10-10,Visit,Unresolved,9afd03c1-9a57-4ca6-920f-91962ec11948
118,866,2024-02-16,Call,Unresolved,d61545d7-dbac-4752-af8c-dc3d5345f568
119,912,2023-12-19,Call,Resolved,79c664ab-2b17-4435-9c93-df8944c70cff
120,1586,2024-02-17,Visit,Unresolved,f5a5b705-9c93-4cf4-9de5-b6ccf0ac3439
121,243,2023-10-30,Email,Resolved,f95433a4-7be5-43f6-935f-31a07bbc0def
122,603,2024-04-11,Call,Resolved,5bb5e8f6-d40c-42b2-842b-33ad421adfbb
123,1805,2023-08-27,Email,Unresolved,e14ec06d-faa3-4a4e-a7cc-cc21f2eb51c8
124,1914,2024-05-14,Visit,Unresolved,f53bd97f-dcb8-4629-84c8-c2298a2f25dd
125,1732,2024-05-01,Email,Resolved,2b80e3a4-3a1b-45c2-8d12-a55523163c9e
126,1849,2023-12-31,Visit,Resolved,4a453faf-59f3-4e2b-9b19-a68f3e990419
127,1847,2023-10-19,Email,Unresolved,98101a0d-a7a6-4bc2-bff4-b6ae952be8c7
128,189,2023-12-15,Visit,Unresolved,feed0b23-331e-439b-bc52-779a2f286ddd
129,1433,2023-11-06,Email,Unresolved,0240c6fc-8c10-4ed9-a55e-c9d95a1d2221
130,1809,2023-08-15,Email,Resolved,2387d6cf-b798-4547-96d6-146754de7173
131,1540,2023-09-22,Call,Resolved,8ae88a0c-fc89-48c8-ab4d-c1f3fdba37f8
132,1251,2023-08-27,Call,Resolved,e5a3f228-619b-46fc-af62-3bd5145c10fe
133,1059,2023-12-16,Visit,Resolved,61bf8bf1-a58b-4a57-8875-eaa871d5a654
134,1978,2024-03-02,Call,Resolved,558ce67a-cdcf-4ed7-a649-7fedda24b8e3
135,1027,2024-01-12,Email,Unresolved,29e2e841-628d-4b40-a103-56d7d038609b
136,590,2024-01-30,Email,Unresolved,41205a82-41ee-4c7c-9200-eee4a4ee6226
137,825,2024-01-15,Email,Unresolved,799b98ed-5a8b-4b4f-81df-46aa19dd7cce
138,1815,2023-10-18,Visit,Resolved,589da53b-a2ad-4005-bc52-494f89de3ad3
139,1312,2024-05-25,Call,Unresolved,bae517b6-5068-4c3f-8506-a892c92caf35
140,1586,2023-11-22,Call,Unresolved,6dec6abc-26df-46f7-a6c4-c310ae72e402
141,959,2023-09-29,Call,Unresolved,1ec75bb4-98bb-4abe-ac8f-ccdf4c1a4b40
142,138,2023-08-13,Call,Unresolved,97938e1f-6662-4048-91b0-03062e074026
143,1312,2024-05-04,Email,Resolved,cd399eda-cb45-4607-b969-a1524788a6fb
144,422,2024-04-09,Call,Resolved,3a567d65-6b0c-4589-a0db-96361887b105
145,1143,2023-11-24,Visit,Unresolved,204399f7-da60-4fc8-8354-ddedc4b78426
146,210,2024-07-07,Call,Resolved,611d0eaf-09fc-4f49-9ddf-45bb2dae8348
147,1599,2024-07-05,Visit,Unresolved,51ccd585-8b0e-4d56-80ec-ee660e92e450
148,210,2024-02-15,Call,Resolved,e45b7580-34e9-4a0f-802e-d52d2334586f
149,1073,2024-01-31,Call,Resolved,10383cf1-f7d1-4433-be79-16f6746f579b
150,720,2023-10-28,Email,Unresolved,57dbf2fb-7dc8-4cec-8ff0-acb046d014af
151,1916,2023-10-22,Visit,Resolved,7922002b-b37a-4e0b-8df7-949e24dde963
152,989,2024-07-11,Call,Unresolved,671d3b6a-e1cc-41f8-a482-46520137619c
153,36,2024-03-02,Call,Unresolved,428c9956-0b3b-4cda-a853-66c51172c2ed
154,1545,2023-07-31,Call,Unresolved,a93aa3f6-8aec-4770-8815-ecbe316f37ec
155,1561,2024-01-25,Call,Unresolved,a3134aa9-19d6-4db5-bfd6-d8206a286015
156,1298,2023-10-16,Call,Resolved,18079e85-20b3-4824-81d3-83552c4ed8a5
157,1438,2024-03-24,Call,Unresolved,cc57f643-f4bb-4e22-8fcb-072ce62c2a33
158,537,2024-03-09,Visit,Resolved,53d78158-4884-4305-8354-95d6a122a665
159,68,2024-04-28,Call,Resolved,61b70dcb-ccac-4539-ba8f-d95459caebbe
160,451,2024-07-16,Call,Resolved,8f95ff16-b73b-4228-86e5-20102da0695b
161,1669,2023-08-01,Visit,Resolved,28e1a5de-a69d-4eb8-9828-361bd92b7909
162,1296,2024-06-08,Visit,Unresolved,c42df9cc-6c77-4f31-9513-413f4bacbc8d
163,118,2024-02-01,Visit,Unresolved,77b23047-9032-47d0-ae63-5ddea70b9b18
164,1068,2024-01-27,Call,Resolved,ff9c6515-6b10-4019-bc69-54c61208fe2e
165,258,2024-04-27,Call,Unresolved,f52ca2c1-0b20-48f6-b304-69d3071ee598
166,1607,2024-02-24,Visit,Resolved,a3c342b1-558b-45a1-a358-b4d4f3c3cd7f
167,1089,2023-12-13,Call,Unresolved,2afa282d-45a2-426e-9a67-ccea14862ade
168,1268,2024-06-21,Visit,Resolved,689b5c4d-ec5f-4a76-8e53-bbfe95c2e1c1
169,343,2023-08-29,Visit,Resolved,f569c279-1759-485d-9ad0-57a3b105738f
170,539,2024-07-15,Call,Resolved,8db1010b-a01e-468e-89aa-74d04629d8b6
171,128,2024-05-11,Call,Resolved,b4bd6f00-7c4b-437c-830e-47056ab0b39f
172,1471,2024-03-28,Email,Unresolved,af3d9703-60ae-4150-99f3-b2d67bf0e8b1
173,1113,2024-07-16,Call,Resolved,86d7dabb-9aae-4255-b0e5-56b8fa039342
174,40,2024-04-18,Visit,Resolved,7c78e5f6-3aeb-4a07-be2c-5694d4bbd45b
175,1267,2023-11-08,Email,Unresolved,0c7e0897-f83a-4045-8dc3-5a9af068a9eb
176,1760,2024-02-03,Call,Resolved,ae4a5a9b-d227-4f07-bdf4-d6838a86ea17
177,1408,2023-11-06,Email,Unresolved,8be6d71b-5860-4825-8426-773d28272d99
178,681,2024-01-31,Email,Unresolved,5239ec0a-ce21-483f-9ef4-1997fd9260bc
179,178,2024-01-09,Email,Unresolved,64323e73-efff-405e-a062-c01fb2f02019
180,6,2023-11-01,Visit,Resolved,ff6274c8-0c58-4467-9234-b5b1701e3177
181,152,2024-06-08,Email,Resolved,72fcf57d-80b8-4e89-9067-7cf2e2470a28
182,350,2023-07-31,Visit,Unresolved,4bba34d7-0fe3-4628-8e5c-198ed86269b8
183,1817,2024-07-07,Visit,Resolved,dfa6ccc1-cf07-4b01-a39f-d4e4cbbed1f3
184,164,2024-07-05,Visit,Resolved,de4ffa83-4cdf-4659-a87b-c76804509317
185,822,2023-09-23,Call,Resolved,807419c9-adca-4df0-ac27-1ffa9f3f2993
186,1220,2023-09-01,Visit,Resolved,87756697-ce97-4432-b476-2049bfcf4d6d
187,890,2023-10-21,Email,Unresolved,e013d970-9da0-41b5-8c79-97af634d3b46
188,1306,2024-05-05,Call,Unresolved,e73c97cd-6fa8-433d-a50b-1b668a9a902d
189,879,2023-08-19,Call,Resolved,bfed946a-3ced-44e6-9e16-b101fbc0806f
190,1338,2024-01-24,Email,Unresolved,87f2536e-bd6d-48fd-be1e-5edbf47d3943
191,1031,2023-09-16,Call,Unresolved,079bb88d-fc36-410c-b329-66e14e945c60
192,1678,2024-02-02,Call,Unresolved,fdfe4591-0101-43f7-9c92-a4b91afd633b
193,54,2024-07-11,Call,Unresolved,b881b87c-03e6-4797-b3bd-4dd2b8350ea8
194,907,2024-05-26,Email,Resolved,2cceea6a-ffe8-4d6f-b6d9-593e8c83ccbc
195,530,2024-01-09,Call,Resolved,4b8d2bbd-220d-4cdc-ba72-dcaa0bce9f6b
196,506,2023-08-22,Call,Unresolved,7e3bc289-fd88-4600-9443-d1d772201baf
197,510,2024-05-23,Email,Resolved,7bba89f3-b3fd-45e7-8c66-439cf90ececb
198,1868,2024-07-01,Call,Unresolved,3fe517b0-530e-4cd9-81b3-7c7b16d14bb0
199,912,2023-08-25,Call,Resolved,81c13ca7-9f5b-4597-b95d-183ad609c675
200,111,2024-03-03,Call,Resolved,30385937-a903-4278-ba62-b0aac413c684
201,448,2023-11-26,Email,Resolved,315c8b38-4713-4417-95f3-180de35b7439
202,1083,2024-01-18,Call,Unresolved,3d0932c3-c23a-4231-ad4f-d7cc997f15ed
203,1766,2023-07-27,Call,Resolved,a6220379-62f6-40d7-8fa8-98cbb5e28b85
204,1552,2024-05-26,Email,Unresolved,3ca25cff-ae6b-4777-a03a-e181c0a7148a
205,1196,2023-08-08,Call,Unresolved,95a4f12a-c4e7-42e1-b3f0-7125623ce3a8
206,1998,2024-01-28,Call,Unresolved,8ed9399d-8258-4641-aa2e-8acf81fff6d8
207,1489,2023-09-09,Visit,Resolved,41475064-0940-4078-9d64-b74a459e2958
208,854,2024-06-18,Email,Resolved,5e48450e-129d-45df-8e62-2095eef0022f
209,690,2024-03-24,Call,Unresolved,c8611013-9eab-415d-a2f6-af194a66bfa1
210,5,2024-06-05,Email,Unresolved,8870dd1f-dcb8-477a-ab27-5b105d642b72
211,1196,2024-05-03,Email,Unresolved,d5010bd3-05d4-44c8-8f20-7a055c711e40
212,778,2024-05-13,Email,Resolved,3174bb05-9cac-4f34-9a09-6f0519be1bc1
213,116,2023-09-04,Email,Unresolved,8b0a3754-29bc-42d0-a5e6-2cdc15d6b0b0
214,932,2024-05-08,Email,Resolved,4b38f9ae-8871-472d-8c88-fd989b090bf0
215,2000,2024-03-30,Email,Unresolved,88cdc95c-a8c5-487c-a322-aae1ed59227f
216,874,2023-11-03,Visit,Resolved,e9840cd6-3e15-4b22-93c0-a838bfd108d0
217,1021,2023-09-18,Email,Unresolved,aa030d03-7484-46cc-964e-0f8d27d5cff3
218,1073,2023-10-09,Email,Unresolved,d3e40671-7506-472a-a77c-b983179408be
219,1515,2023-11-13,Email,Unresolved,bbb82821-b5bb-420f-84b6-810a814319be
220,1067,2023-09-28,Email,Resolved,09b6ad9b-8ccd-432f-8cf5-cff458cb181d
221,200,2023-09-24,Call,Resolved,78e4990a-63d1-4cbb-a28f-ada40e821795
222,792,2024-01-02,Visit,Resolved,d5bfe335-7417-42e4-8f56-ce7922b54719
223,1574,2023-08-27,Call,Resolved,257aecdd-5dba-4330-97c1-52d0b5a68aad
224,1742,2024-01-13,Visit,Resolved,1e841a5a-1556-42d6-a9df-0a084b07f59f
225,118,2023-12-17,Visit,Unresolved,4927a56d-9e33-4119-8a9c-3764440e4ba1
226,452,2024-05-02,Call,Unresolved,91c651a8-29ef-45f2-ad27-ded769dcb5f8
227,822,2023-10-09,Email,Unresolved,967b9e8d-0476-4872-89d9-dc1752105018
228,755,2023-09-19,Email,Resolved,0dc24128-3a07-4f07-a7a5-27e8c00f9f76
229,127,2024-02-27,Email,Resolved,9d2914c2-7460-41ac-a05d-a38bbdff0f2d
230,820,2024-01-31,Visit,Unresolved,dfcedd28-d438-4b01-8be1-5c4f1aacd02f
231,168,2024-07-07,Call,Resolved,5e5fb822-3a97-44f3-a756-cfbd699c20f6
232,1193,2024-01-31,Visit,Resolved,e2dc983e-3922-46f3-863d-6cecfd364e39
233,943,2023-12-25,Email,Unresolved,44090098-cc32-4f49-9133-5d5339d3f650
234,600,2023-08-06,Call,Unresolved,0ecf3aae-8af0-49f9-9910-5997f64365ed
235,1737,2024-03-05,Email,Resolved,d72a9ca2-0126-404b-867d-3ff25cf4b8e0
236,1348,2024-01-11,Visit,Resolved,7e7d71b1-0cf3-487c-b92d-9c9e10e36b62
237,1924,2023-08-28,Email,Resolved,e391bd29-6e27-4011-9572-2ec7d24c2894
238,444,2024-04-19,Email,Resolved,d1d1f482-7d1f-4687-87ff-b3fc58d776a4
239,1229,2023-10-22,Visit,Unresolved,ecaf1c08-72f1-44d4-867d-6e6b3712ce79
240,1164,2024-03-03,Call,Unresolved,51fdc2f3-d4e6-4a51-88ba-b6328a423635
241,428,2024-05-20,Call,Resolved,0508fbd6-bdc8-4553-8887-4047df612873
242,622,2023-10-25,Email,Resolved,70b9591e-8691-4fd8-a65e-617ac063def1
243,1142,2024-03-14,Email,Unresolved,d4fc4cbb-493c-406c-9f23-68e11d5da83f
244,809,2023-07-29,Email,Unresolved,3fb1daea-d039-4e74-842e-8ec6f4a48753
245,1699,2024-01-09,Visit,Resolved,f68ba970-86f4-460d-bf8b-686618c788cc
246,1724,2024-05-09,Email,Resolved,199886b5-8555-489c-9018-6f2bb9b3ac62
247,552,2023-11-23,Visit,Resolved,0a7ef25c-040e-432a-b82c-f922b1ab119d
248,348,2024-06-21,Email,Resolved,1e4946db-5eed-4606-afa8-9751395d8e4c
249,263,2024-05-08,Email,Resolved,6b65141d-2cf0-48bc-ab69-c77d45089ad5
250,687,2024-01-21,Email,Unresolved,6b259bf9-a18c-4023-abab-25cf42618ae3
251,405,2024-06-20,Email,Unresolved,c592e752-18ca-44bf-b65f-21be1351f3a5
252,1032,2024-01-11,Email,Unresolved,44a30c76-779b-4e8c-9cdb-e40a1b5bc8f5
253,140,2024-07-13,Email,Resolved,a9225b7e-4b96-4319-a051-a7ba4d0b944c
254,804,2024-01-06,Visit,Unresolved,8a4b065f-b7ea-4f34-86c6-5fcf24b88858
255,856,2024-02-28,Visit,Resolved,69682438-6fa1-4434-9cff-8aa7dc3eb556
256,1188,2024-02-14,Email,Unresolved,dd2780c2-e439-468b-9051-f9e3da551566
257,1100,2024-06-03,Visit,Resolved,a346ce13-c979-407e-a70d-a166eaffa624
258,15,2023-08-19,Visit,Resolved,d65e0584-5425-414a-8ceb-7ac69d590187
259,1461,2023-12-13,Call,Unresolved,8ebafc4d-47b1-4fbd-9ff8-600716ed0188
260,1079,2024-06-02,Email,Resolved,91c9e4b7-6844-4e7a-8bf2-f2aa57561c8b
261,1463,2023-07-31,Email,Unresolved,3b6e8415-a4c1-485e-b5b9-e1d7dbcbb631
262,939,2024-05-24,Email,Resolved,2508cbe1-aeca-48fc-aa0c-c5071e8cd20d
263,581,2024-02-01,Email,Resolved,30d4830a-f0b9-41d6-828d-008405156ed1
264,1717,2023-12-31,Email,Resolved,bb287569-5812-496a-9112-fde48eeb3e91
265,1424,2024-01-27,Call,Resolved,58ecb2f1-1cd3-4747-ae8b-8fca2486dbcd
266,845,2024-01-13,Visit,Unresolved,35580bbb-eafc-42e7-b2c1-3f8e804c15ed
267,837,2023-10-24,Call,Unresolved,d40af128-7b53-4f6d-8734-d4b16100cdb9
268,939,2024-03-28,Visit,Resolved,5a2db8fb-18c4-4504-9426-cb1e4edce807
269,1733,2023-08-14,Email,Unresolved,414e860f-b198-4ddb-9bc0-c7feea434f6a
270,1362,2023-10-24,Email,Unresolved,ff32d0f1-b11e-4996-931a-b460624a7d6d
271,1422,2023-10-23,Visit,Unresolved,41a438c5-5113-4949-afd2-9c788a5c2d55
272,712,2023-08-24,Call,Resolved,d9f3b97f-5333-4a13-8fb6-d743e25bd004
273,1448,2024-07-09,Visit,Unresolved,236b3359-ba58-4a62-91b8-727f61f5e505
274,828,2024-05-22,Visit,Resolved,cca2aed8-f32d-40dd-8697-d1835d99767d
275,865,2023-09-08,Call,Resolved,c769f96e-4356-4a78-a179-8ad69db0289a
276,1354,2023-11-28,Call,Unresolved,f75cdd7b-a0f0-49dd-848c-02e076bd0c63
277,169,2023-09-15,Call,Unresolved,574441c8-7037-43c6-ac9a-d238ffcde8c9
278,104,2023-12-28,Call,Resolved,d58fdcef-419f-4983-91c0-cbd5204f3cb8
279,862,2024-01-29,Call,Resolved,c6288f10-d547-44d6-bc42-a07c363b5a66
280,1403,2024-05-20,Call,Resolved,436d7b26-b80e-4940-b3c7-5696d1e3dc28
281,1522,2024-01-09,Email,Resolved,c372c43a-ee79-489c-8c0e-bf84636c095c
282,1304,2024-03-16,Visit,Unresolved,b490ee1e-5e99-4fbd-808d-b091e70dd34c
283,665,2023-11-15,Visit,Unresolved,28efa5e2-ee18-471a-8994-7cd3fd9c0c3e
284,1231,2024-06-26,Visit,Unresolved,9ffcf026-03b3-46c4-a558-4a1769e7ec1a
285,332,2024-04-17,Visit,Unresolved,3b196f2c-8a22-4f3d-9d2f-0e7c7fb7c188
286,719,2023-11-17,Visit,Resolved,74b01065-1ada-45aa-9163-90f8882ef812
287,575,2023-12-10,Visit,Resolved,198be704-bd21-47db-96f0-7b1e41f25a50
288,773,2024-01-28,Visit,Resolved,f598c94c-c159-48b8-b21e-6583188d1f3a
289,593,2023-11-07,Email,Unresolved,353a6506-15ea-4a13-9a68-68c547d6baa8
290,1660,2024-01-15,Call,Unresolved,d22903de-a121-458a-bef6-10d75b5cf3a4
291,1397,2024-04-25,Email,Resolved,3397740a-a723-470b-ac40-3919cad95c4e
292,1889,2024-06-15,Email,Resolved,4c688a83-f2c3-46a7-b98a-22743c3588d6
293,1179,2024-02-26,Visit,Resolved,1444f513-9943-4969-a7e8-ccb03a738e2e
